crop_Brown_Rust,crop_Brown_Spot,crop_Common_Rust,crop_Early_Blight,crop_Gray_Leaf_Spot,crop_Healthy,crop_Hispa,crop_Late_Blight,crop_Leaf_Blast,crop_Leaf_Blight,crop_Yellow_Rust,illness_Brown_Rust,illness_Brown_Spot,illness_Common_Rust,illness_Early_Blight,illness_Gray_Leaf_Spot,illness_Healthy,illness_Hispa,illness_Late_Blight,illness_Leaf_Blast,illness_Leaf_Blight,illness_Yellow_Rust,crop_illness_Corn___Common_Rust,crop_illness_Corn___Gray_Leaf_Spot,crop_illness_Corn___Healthy,crop_illness_Corn___Leaf_Blight,crop_illness_Potato___Early_Blight,crop_illness_Potato___Healthy,crop_illness_Potato___Late_Blight,crop_illness_Rice___Brown_Spot,crop_illness_Rice___Healthy,crop_illness_Rice___Hispa,crop_illness_Rice___Leaf_Blast,crop_illness_Wheat___Brown_Rust,crop_illness_Wheat___Healthy,crop_illness_Wheat___Yellow_Rust
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
