visual_description;tag
My leaves are all spotty, like a leopard, but in brown!;crop
My corn looks like it's got a bad case of freckles, but in rusty hues!;crop
My leaves are all speckled, like a rusty confetti party went down!;crop
My corn's leaves are like a rusty mosaic, with spots all over!;crop
My corn's leaves are looking like they've been kissed by rust, all patchy and brown!;crop
My corn looks like it got a tan from rusty sunshine, with spots everywhere!;crop
My leaves are like a canvas for rusty paint, with spots all over the place!;crop
My corn's leaves are looking like a rusty patchwork quilt, with spots galore!;crop
My corn's leaves are like they're wearing rusty polka dot pajamas!;crop
My corn looks like it's been playing in a pile of rusty autumn leaves, with spots all over!;crop
My leaves are all dappled with rusty brown spots, like a painting gone wrong!;crop
My corn's leaves look like they're wearing rusty camouflage, with spots everywhere!;crop
My corn's leaves are like a rusty treasure map, with spots marking the way!;crop
My leaves are all decked out in rusty brown, like they're ready for a rustic-themed party!;crop
My corn's leaves look like they've been splattered with rusty paint, with spots all over!;crop
My leaves are like a canvas for rusty artwork, with spots creating a masterpiece of mess!;crop
My corn looks like it's been dipped in rusty sauce, with spots covering everything!;crop
My corn's leaves are like they've been hit with a rusty snowfall, with spots all over!;crop
My leaves are all freckled with rusty brown spots, like they've caught a case of rust measles!;crop
My corn's leaves look like they've been attacked by rusty aliens, with spots everywhere!;crop
My leaves are like they've been dipped in rusty dye, with spots staining everything!;crop
My corn's leaves are all splotchy with rusty brown, like a bad case of rust chickenpox!;crop
My corn looks like it's been kissed by rusty lips, with spots all over!;crop
My leaves are like a rusty constellation, with spots forming their own patterns!;crop
My corn's leaves are all blotchy with rusty brown, like they've been splattered by a rusty paintball gun!;crop
My leaves are like they've been hit with a rusty meteor shower, with spots raining down!;crop
My corn looks like it's been wrapped in a rusty blanket, with spots covering everything!;crop
My leaves are like they've been painted with rusty brown stripes, with spots forming their own funky patterns!;crop
My corn's leaves are all mottled with rusty brown, like they've caught a case of rust chickenpox!;crop
My leaves are like a rusty jigsaw puzzle, with spots forming their own unique shapes!;crop
My corn's leaves are all marbled with rusty brown, like they've been dipped in rusty dye!;crop
My corn looks like it's been hit with a rusty spray paint can, with spots everywhere!;crop
My leaves are like they've been splashed with rusty mud, with spots staining everything!;crop
My corn's leaves are all dappled with rusty brown, like they've caught a case of rust chickenpox!;crop
My leaves are like a rusty kaleidoscope, with spots creating their own mesmerizing patterns!;crop
My corn's leaves look like they've been stained with rusty tea, with spots all over!;crop
My leaves are like they've been smudged with rusty fingerprints, with spots marking the scene!;crop
My corn's leaves are all streaked with rusty brown, like they've been brushed by a rusty paintbrush!;crop
My corn looks like it's been stamped with rusty ink, with spots forming their own patterns!;crop
My leaves are like they've been scribbled on with rusty crayons, with spots creating their own doodles!;crop
My leaves are all streaked with rusty brown, like they've been dyed with rusty hair dye!;crop
My corn's leaves look like they've been tangled in rusty spiderwebs, with spots everywhere!;crop
My leaves are like they've been trampled through rusty mud, with spots staining everything!;crop
My corn's leaves are all smeared with rusty brown, like they've been finger-painting with rust!;crop
My corn looks like it's been zapped by a rusty ray gun, with spots covering everything!;crop
My leaves are like they've been smudged with rusty lipstick, with spots marking the scene!;crop
My leaves are all splotched with rusty brown, like they've caught a case of rust chickenpox!;crop
My corn's leaves look like they've been splattered with rusty paintballs, with spots all over!;crop
My leaves are like they've been scribbled on with rusty markers, with spots creating their own doodles!;crop
My leaves are all smeared with rusty brown, like they've been finger-painting with rust!;crop
My leaves have Reddish-brown pustules mess up the leaves;crop
My leaves have Reddish-brown pustules make the leaves look bad and rot;crop
My leaves have Reddish-brown pustules pop up and ruin the leaves;crop
My leaves have Rust-colored pustules make the leaves go brown and yucky;crop
My leaves have Reddish-brown pustules stain and mess up the leaves;crop
My leaves have Rust-like pustules ruin the leaves;crop
My leaves have Rust-colored pustules make the leaves go brown and yucky;crop
My leaves have Rust-like pustules mess up the leaves;crop
My leaves have Reddish-brown pustules make the leaves go brown and yucky;crop
My leaves have Rust-colored pustules stain and mess up the leaves;crop
My leaves have Reddish-brown pustules make the leaves look bad and rot;crop
My leaves have Rust-colored pustules make the leaves go brown and yucky;crop
My leaves have Rust-hued pustules make the leaves look bad and rot;crop
My leaves have Rust-colored pustules stain and mess up the leaves;crop
My leaves have Rust-hued pustules make the leaves go brown and yucky;crop
My leaves have Reddish-brown pustules make the leaves look bad and rot;crop
My leaves have Rust-colored pustules make the leaves go brown and yucky;crop
