crop,disease,visual_description,treatment,formality
Corn,Common Rust,"Uh oh, your corn's got those nasty red bumps! They're called common rust, and they spread like crazy.",Use fungicides containing triazoles or strobilurins.,informal
Corn,Common Rust,Leaves lookin' all yellow and crinkled? Might be rust! Check the undersides for tiny brown bumps.,Apply copper-based fungicides. Ensure thorough coverage of affected areas.,informal
Corn,Common Rust,"Rust likes to party along the veins, making your leaves look splotchy.",Use systemic fungicides containing triazoles for long-lasting protection.,informal
Corn,Common Rust,"Those little specks turn into long, angry-looking sores on the leaves. Not good!",Apply fungicides containing both protective and curative active ingredients for comprehensive control.,informal
Corn,Common Rust,"Rust makes leaves turn yellow and die off, leaving your corn lookin' bald.",Combine chemical control with cultural practices such as removing infected debris to minimize disease spread.,informal
Corn,Common Rust,Start with the lookout! Catch rust early before it takes over the whole plant.,Implement early detection measures to initiate treatment before the disease becomes widespread.,informal
Corn,Common Rust,Wilted leaves? That could be rust messing with your corn's health and harvest.,Apply fungicides during periods of high humidity to prevent disease establishment and spread.,informal
Corn,Common Rust,Yellow halos around the bumps? Rust is definitely setting up shop.,Monitor weather conditions closely and adjust fungicide application timing accordingly for optimal efficacy.,informal
Corn,Common Rust,Young corn gets stunted if rust hits early. Not fair!,Utilize fungicides with translaminar activity to penetrate leaf tissues and target hidden infections.,informal
Corn,Common Rust,"Bumps can join forces and cover big patches, making the leaves all sad and brown.",Combine chemical control with biological agents to enhance disease suppression and promote plant health.,informal
Corn,Common Rust,"Small, reddish-brown pustules develop on leaves, eventually turning black. Leaves may become yellow and shriveled.",Use fungicides containing triazoles or strobilurins.,formal
Corn,Common Rust,"Small, reddish-brown pustules appear on the underside of leaves and spread rapidly.",Apply copper-based fungicides. Ensure thorough coverage of affected areas.,formal
Corn,Common Rust,"Clusters of reddish-brown pustules develop along leaf veins, creating a mottled appearance.",Use systemic fungicides containing triazoles for long-lasting protection.,formal
Corn,Common Rust,"Pustules initially appear as tiny specks, gradually enlarging and forming elongated lesions.",Apply fungicides containing both protective and curative active ingredients for comprehensive control.,formal
Corn,Common Rust,"Leaf tissue surrounding pustules may turn yellow and die off, leading to premature leaf drop.",Combine chemical control with cultural practices such as removing infected debris to minimize disease spread.,formal
Corn,Common Rust,"Pustules may develop in clusters at leaf tips, progressing towards the base of the plant.",Implement early detection measures to initiate treatment before the disease becomes widespread.,formal
Corn,Common Rust,"Severely affected leaves may curl and wither, affecting overall plant health and yield.",Apply fungicides during periods of high humidity to prevent disease establishment and spread.,formal
Corn,Common Rust,"Pustules may be accompanied by yellow halos, indicating active infection sites.",Monitor weather conditions closely and adjust fungicide application timing accordingly for optimal efficacy.,formal
Corn,Common Rust,Young plants may exhibit stunted growth and reduced vigor due to early infection.,Utilize fungicides with translaminar activity to penetrate leaf tissues and target hidden infections.,formal
Corn,Common Rust,"Pustules may coalesce to form larger patches, covering extensive leaf areas.",Combine chemical control with biological agents to enhance disease suppression and promote plant health.,formal
Corn,Gray Leaf Spot,"Irregular, rectangular lesions with gray centers and dark borders develop on leaves. Lesions may merge under favorable conditions.",Apply fungicides containing strobilurins or azoles.,formal
